sample_label,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
Compound Structure 59,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5CCF)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,63,usp1_ic50_grade,+++
Compound Structure 6,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=CC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,8,usp1_ic50_grade,+++
Compound Structure 60,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,64,usp1_ic50_grade,+++
Compound Structure 61,COC1=NC=NC(OC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)C2=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,65,usp1_ic50_grade,+++
Compound Structure 62,CCN1C=C(C(F)(F)F)N=C1C1=NC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,66,usp1_ic50_grade,+++
Compound Structure 63,COC1=CC(C(F)(F)F)=NN1C1=NC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,67,usp1_ic50_grade,+++
Compound Structure 64,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2(C)CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,68,usp1_ic50_grade,+++
Compound Structure 65,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5COC5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,69,usp1_ic50_grade,+++
Compound Structure 66,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C5CC5)C=NN4CC)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,70,usp1_ic50_grade,+++
Compound Structure 67,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C(C)(C)F)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,71,usp1_ic50_grade,+++
Compound Structure 68,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(/C5=N/C(C(F)(F)F)=C6/CNCCN56)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,72,usp1_ic50_grade,+++
Compound Structure 69,COC1=NC=NC(C2CC2)=C1C1=N/C2=C(C=NN2CC2=CC=C(N3N=C(C#N)C=C3C)C=C2)/C=N\1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,73,usp1_ic50_grade,+++
Compound Structure 7,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,9,usp1_ic50_grade,+++
Compound Structure 70,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5CN(C)C5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,74,usp1_ic50_grade,+++
Compound Structure 71,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C(C)C)N=CN=C4C)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,75,usp1_ic50_grade,+++
Compound Structure 72,CNC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,76,usp1_ic50_grade,+++
